English,Portuguese
you,vocês
i,eu
the,a
to,para
a,uma
it,isto
and,e
that,este
of,do
is,é
in,dentro
what,o que
we,nós
me,Eu
this,isto
he,ele
for,por
my,minha
on,sobre
have,tenho
your,sua
do,Faz
was,foi
no,não
not,não
be,ser
are,são
don,vestir
re,ré
know,conhecer
can,posso
with,com
but,mas
all,tudo
so,assim
just,apenas
there,lá
here,aqui
they,elas
like,Curti
ll,ll
get,pegue
she,ela
go,vai
if,E se
right,certo
out,Fora
about,cerca de
up,acima
at,no
him,dele
now,agora
oh,oh
one,1
come,venha
well,Nós vamos
her,sua
how,Como as
yeah,sim
ve,ve
will,vai
got,pegou
want,querer
think,acho
as,Como
see,Vejo
did,fez
good,Boa
who,quem
why,Por quê
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,indo
time,Tempo
an,um
okay,ok
back,de volta
look,olhar
us,nós
them,eles
were,nós estamos
take,leva
then,então
had,teve
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
man,cara
some,algum
say,dizer
hey,Ei
could,poderia
d,d
didn,não
by,por
need,precisar
has,tem
too,também
more,mais
way,caminho
down,baixa
make,faço
very,muito
never,Nunca
only,só
over,sobre
love,amor
mean,significa
said,disse
sorry,desculpe
give,dar
off,desligado
am,sou
thank,obrigado
any,algum
two,dois
even,até
much,Muito de
doing,fazendo
sure,claro
thing,coisa
these,esses
help,ajuda
first,primeiro
into,em
still,ainda
find,achar
life,vida
sir,Senhor
day,dia
god,Deus
work,trabalhar
their,seus
uh,uh
again,novamente
maybe,pode ser
must,devo
other,outro
wait,esperar
stop,Pare
call,ligar
after,depois
won,Ganhou
talk,conversa
away,um jeito
than,do que
home,casa
night,noite
put,colocar
great,excelente
those,Essa
last,último
everything,tudo
told,contou
mr.,Senhor.
new,novo
keep,guarda
long,grandes
leave,sair
does,faz
money,dinheiro
doesn,não
name,nome
place,"Lugar, colocar"
ever,sempre
feel,sentir
guys,rapazes
guy,cara
made,feito
old,velho
isn,isn
big,grande
lot,muito
done,feito
hello,olá
nice,legais
girl,menina
fine,multar
kind,Gentil
house,lar
every,todo
ok,OK
being,ser
stay,fique
left,deixei
dad,Papai
came,veio
may,poderia
bad,mau
might,poderia
three,três
today,hoje
understand,Compreendo
hear,ouvir
ask,perguntar
own,ter
same,mesmo
show,mostrar
else,senão
kill,matar
found,encontrado
next,próximo
care,Cuidado
car,carro
son,filho
try,tentar
went,fui
hi,Oi
dead,morto
many,muitos
mind,mente
wasn,não era
best,melhor
mom,mamãe
hell,inferno
boy,Garoto
job,trabalho
saw,viu
real,real
baby,bebê
room,quarto
move,jogada
most,a maioria
seen,visto
live,viver
miss,senhorita
huh,Hã
shit,merda
both,Ambas
heard,ouviu
once,uma vez
ready,pronto
head,cabeça
used,usado
idea,idéia
knew,sabia
hold,aguarde
happy,feliz
door,porta
such,tal
fuck,Porra
also,também
bit,pedaço
took,tomou
haven,refúgio
yet,ainda
men,homens
start,começar
use,usar
since,desde
wife,esposa
days,dias
guess,acho
meet,encontrar
bring,trazer
run,corre
hard,duro
ah,Ah
alone,sozinho
gone,se foi
um,hum
end,fim
phone,telefone
play,Toque
looks,parece
few,alguns
gotta,Tenho que
ago,atrás
open,abrir
hope,ter esperança
face,enfrentar
until,até
lost,perdido
turn,virar
case,caso
says,diz
TRUE,VERDADE
die,morrer
heart,coração
soon,em breve
each,cada
later,mais tarde
year,ano
music,música
hand,mão
sit,sentar
eat,comer
part,papel
kids,crianças
late,tarde
stuff,material
under,debaixo
death,morte
pay,pagar
crazy,louco
kid,miúdo
gave,deram
damn,droga
five,cinco
drink,beber
far,distante
knows,sabe
its,Está
eyes,olhos
shut,fechar
aren,are
hit,acertar
easy,fácil
times,vezes
check,Verifica
hands,mãos
deal,acordo
means,significa
point,ponto
makes,faz
asked,Perguntou
mine,minha
body,corpo
sleep,dorme
dear,caro
quite,bastante
four,quatro
close,perto
ain,Ain
party,Festa
fun,Diversão
word,palavra
comes,vem
set,definir
shall,deve
story,história
least,ao menos
hurt,ferir
wish,desejar
fight,lutar
week,semana
girls,garotas
rest,descanso
fire,incêndio
game,jogos
mr,senhor
side,lado
stand,ficar
read,ler
cut,cortar
child,filho
goes,vai
hours,horas
speak,falar
truth,verdade
blood,sangue
able,capaz
lady,senhora
gets,recebe
shot,tomada
break,parar
war,guerra
city,cidade
walk,andar
town,Cidade
trust,Confiar em
dr.,dr.
met,conheceu
high,Alto
wow,uau
half,metade
died,morreu
cool,legal
free,gratuitamente
seems,parece
power,potência
whoa,Uau
bye,tchau
buy,Comprar
honey,querida
tried,tentou
front,frente
team,equipe
gun,arma de fogo
boys,Rapazes
line,linha
send,mandar
news,notícia
bed,cama
hurry,pressa
full,cheio
save,Salve 
along,ao longo
hate,odiar
food,Comida
light,leve
l,eu
needs,precisa
dog,cão
clear,Claro
order,ordem
em,Em
fact,facto
lord,senhor
six,seis
hot,quente
funny,engraçado
black,Preto
mrs.,Sra.
alive,vivo
pick,escolha
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
sighs,suspiros
sort,ordenar
boss,chefe
taken,ocupado
safe,seguro
ma,MA
book,livro
sent,enviado
hour,hora
small,pequena
cause,causa
lives,vidas
s,s
john,João
sick,doente
ha,ha
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
shoot,atirar
touch,toque
sound,som
top,topo
ass,bunda
win,ganhar
glad,alegre
hmm,Hmm
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
air,ar
ten,dez
daddy,papai
fast,velozes
cold,resfriado
seem,parecer
hang,pendurar
dance,dança
till,até
catch,truque
sense,senso
sex,sexo
lie,mentira
known,conhecido
dream,Sonhe
sweet,doce
felt,sentiu
sign,sinal
lucky,afortunado
bet,aposta
o,o
jesus,Jesus
quiet,tranquilo
less,menos
pull,puxar
beat,bater
date,encontro
fall,cair
given,dado
ooh,ooh
fault,culpa
takes,leva
song,música
loved,amavam
road,estrada
calm,calma
mad,louco
drop,derrubar
learn,aprender
step,degrau
absolutely,absolutamente
early,cedo
clean,limpar
piece,peça
throw,lançar
land,terra
feet,pés
dude,cara
eye,olho
quick,rápido
state,Estado
sam,Sam
none,Nenhum
ones,uns
act,Aja
law,lei
chief,chefe
pain,dor
am,sou
ya,ya
pass,passar
tired,cansado
class,classe
kept,mantido
wake,acordar
busy,ocupado
eh,Eh
kiss,beijo
court,quadra
age,era
ship,navio
marry,casar
meant,significou
sell,vender
dark,Sombrio
movie,filme
ride,passeio
t,t
completely,completamente
mouth,boca
tv,televisão
born,nascido
information,em formação
definitely,definitivamente
film,filme
month,mês
lying,deitado
train,Comboio
seven,Sete
wear,vestem
hotel,hotel
hasn,Hasn
round,redondo
sing,canta
bag,sacola
blue,azul
near,aproximar
broke,quebrou
david,David
frank,Frank
joe,Joe
table,tabela
rock,Rocha
buddy,camarada
paid,pago
using,usando
floor,piso
ran,correu
swear,jurar
spend,gasta
ring,anel
bill,conta
york,Iorque
army,exército
lead,conduzir
fair,feira
sun,Sol
fool,idiota
club,clube
interesting,interessante
space,espaço
test,teste
box,caixa
group,grupo
join,Junte
fear,temer
peace,Paz
force,força
short,curto
enjoy,desfrutar
mike,Mike
crime,crime
horse,cavalo
count,contar
area,área
honor,honra
lunch,almoço
miles,milhas
radio,rádio
idiot,idiota
ball,bola
paper,papel
key,chave
boat,barco
gold,ouro
bar,bar
fish,peixe
mark,marca
tom,Tom
government,governo
eight,oito
fell,caiu
cover,cobrir
interested,interessado
deep,profundo
star,Estrela
sea,mar
agree,aceita
major,formar-se
stick,grudar
offer,oferta
smart,inteligente
hide,ocultar
bank,banco
trip,viagem
relax,relaxar
list,Lista
brain,cérebro
fix,fixar
proud,orgulhoso
tea,chá
angry,Bravo
park,parque
soul,alma
peter,Pedro
rich,rico
agent,agente
blow,golpe
paul,Paulo
dress,vestir
mary,Mary
scene,cena
saved,salvou
ice,gelo
mess,bagunça
tough,difícil
feels,sentimentos
sad,triste
cell,célula
drunk,bêbado
share,compartilhar
card,cartão
fly,voe
ben,Ben
girlfriend,Namorada
laugh,riso
smell,cheiro
mum,mãe
often,muitas vezes
calls,chamadas
spent,gasto
third,terceiro
mama,Mama
judge,juiz
dare,Ouse
relationship,relação
moved,mudou-se
prove,provar
wall,muro
seat,assento
lieutenant,tenente
lt,lt
especially,especialmente
art,arte
cry,choro
lived,vivido
impossible,impossível
queen,rainha
cops,policiais
sake,interesse
loves,O amor é
carry,carregar
teach,Ensinar
upset,chateado
green,verde
liked,apreciado
cute,bonitinho
evil,mal
joke,Piada
cop,policial
huge,enorme
holy,piedosos
store,armazenar
jail,cadeia
likes,curtidas
doubt,dúvida
appreciate,apreciar
cat,gato
shop,fazer compras
congratulations,Parabéns
quit,Sair
field,campo
james,James
wine,vinho
south,sul
slow,lento
glass,vidro
cash,dinheiro
dying,moribundo
difference,diferença
plane,avião
push,Empurre
mmm,mmm
north,norte
mrs,Sra
tree,árvore
madam,senhora
gift,Presente
truck,caminhão
bear,urso
board,quadro
grab,agarrar
beer,Cerveja
stuck,grudou
magic,Magia
rules,as regras
reach,alcançar
wind,vento
max,máx
immediately,imediatamente
gives,dá
experience,experiência
upon,sobre
bus,ônibus
henry,Henry
dirty,sujo
lots,grande quantidade
shoes,sapatos
jump,pular
rid,livrar
knock,bater
owe,dever
harry,atormentar
grow,crescer
river,rio
aunt,tia
aah,aah
fat,gordo
final,final
bob,prumo
everywhere,em toda parte
moon,lua
arms,braços
turns,curva
match,Combine
gasps,Susps
grand,grande
yep,Sim
shh,shh
themselves,eles mesmos
mate,amigo
press,pressione
foot,pé
hadn,tinha
blame,culpa
crap,porcaria
drugs,drogas
type,modelo
rings,argolas
named,nomeado
ii,ii
paris,Paris
race,corrida
risk,risco
books,livros
danny,Danny
price,preço
nick,usuario
fit,em forma
smoke,fumaça
favor,Favor
smile,sorriso
guard,guarda
begin,começar
spot,ver
enemy,inimigo
alex,Alex
allow,permitir
nine,nove
gay,gay
department,departamento
apart,separado
duty,dever
jim,Jim
suit,Traje
bell,Sino
west,Oeste
legs,pernas
hero,herói
stage,palco
bunch,monte
low,baixo
admit,Admitem
names,nomes
arm,braço
steal,roubar
jimmy,Jimmy
kick,chute
twice,duas vezes
cross,Cruz
ways,caminhos
gas,gás
fired,despedido
tony,Tony
taste,gosto
adam,Adão
form,Formato
sold,vendido
silly,boba
build,construir
hole,buraco
track,acompanhar
lock,trancar
leg,perna
above,acima de
steve,Steve
fresh,fresco
sky,céu
ms.,EM.
stole,roubaram
study,estudar
burn,queimar
crowd,multidão
treat,tratar
roll,lista
cost,custo
empty,vazio
level,nível
nose,nariz
plans,planos
built,construído
ray,raio
sarah,Sarah
band,banda
apparently,aparentemente
raise,levantar
pop,pop
bomb,bombear
neck,pescoço
warm,caloroso
extra,extra
van,furgão
heavy,pesado
mommy,Mamãe
dogs,cães
wild,selvagem
ridiculous,ridículo
lee,Lee
billy,Billy
keeps,mantém
camp,acampamento
guns,armas
shame,vergonha
whom,o qual
bird,pássaro
keys,chaves
rain,chuva
awful,horrível
large,ampla
local,local
stone,pedra
jane,Jane
grace,graça
lay,colocar
pants,calça
sweetheart,amada
skin,pele
beach,de praia
c,c
faith,fé
beg,implorar
responsible,responsável
opportunity,oportunidade
cook,cozinheiro
hall,corredor
drug,medicamento
main,a Principal
knife,faca
devil,diabo
dick,Dick
rose,rosa
hat,chapéu
code,código
note,Nota
tommy,Tommy
due,vencimento
stars,estrelas
cars,carros
folks,pessoal
i.,eu.
shows,shows
restaurant,restaurante
east,leste
blind,cego
ghost,fantasma
cup,copo
tight,apertado
conversation,conversação
tells,diz
lies,mentiras
nor,nem
speed,Rapidez
held,guardado
rule,regra
trial,tentativas
ought,deveria
eddie,Eddie
spoke,falou
file,Arquivo
understood,Entendido
angel,anjo
tape,fita
milk,leite
vote,voto
jake,Jake
super,super
plays,tocam
copy,cópia de
plus,mais
cake,bolo
among,dentre
chris,Chris
crew,equipe técnica
meat,eu no
lied,mentiu
size,Tamanho
color,cor
loud,alto
photo,foto
aw,aw
sight,visão
games,Jogos
coach,treinador
serve,servir
ideas,Ideias
investigation,investigação
older,Mais velho
pack,pacote
doc,Doc
trick,truque
incredible,incrível
teeth,dentes
truly,verdadeiramente
bro,Mano
bobby,Bobby
feed,alimentação
nurse,enfermeira
e,e
fake,falso
oil,óleo
whoo,Whoo
amy,Amy
papa,Papa
onto,para
ugh,eca
view,Visão
chair,cadeira
hurts,machuca
roger,Roger
fill,encher
dr,dr
kim,Kim
brown,Castanho
heads,cabeças
all,tudo
shirt,camisa
comfortable,confortável
guest,convidado
dry,seco
began,começou
aye,Sim
jeff,Jeff
ho,Ho
cards,cartões
pray,rezar
unfortunately,infelizmente
balls,bolas
ended,terminou
wash,lavagem
heat,aquecer
usual,usual
aware,consciente
male,macho
base,base
lift,levantar
lab,laboratório
proof,prova
cream,creme
h,h
total,total
dumb,idiota
threw,jogou
birth,nascimento
noise,ruído
nuts,nozes
birds,pássaros
tie,gravata
ours,nosso
bucks,Bucks
kevin,Kevin
ugly,feio
ryan,Ryan
focus,foco
dan,Dan
opens,abre
exist,existir
draw,empate
anna,Anna
ends,termina
joy,alegria
responsibility,responsabilidade
issue,questão
sword,espada
weak,fraco
eric,Eric
tiny,minúsculo
desk,mesa
pool,piscina
indistinct,indistinto
gang,gangue
bite,morder
disappeared,desaparecido
kinda,tipo
mayor,prefeito
babe,bebê
staff,funcionários
lines,linhas
unit,unidade
fan,fã
fate,destino
split,dividir
add,adicionar
alarm,alarme
slept,dormisse
enter,digitar
brave,corajoso
pig,porco
model,modelo
flat,apartamento
discovered,descoberto
based,Sediada
screw,parafuso
cares,Cuidados
san,San
scott,Scott
path,caminho
soft,suave
harm,prejuízo
style,estilo
sees,vê
al,al
nope,Não
spare,poupar
shake,sacudir
loose,solto
snow,neve
lake,lago
roof,cobertura
ohh,Ohh
paint,pintar
pal,amigo
naked,nu
post,publicar
sugar,açúcar
doors,portas
pete,Pete
ed,ed
wet,molhado
nah,nah
kate,Kate
fbi,FBI
block,quadra
fancy,gostar
chef,chefe de cozinha
dig,escavação
chest,peito
dave,Dave
brian,Brian
trade,troca
maria,Maria
gosh,poxa
gate,portão
outta,outta
coat,casaco
larry,Larry
page,página
ears,ouvidos
simon,Simon
storm,tempestade
cos,cos
personally,pessoalmente
hill,colina
permission,permissão
jerry,Jerry
eggs,ovos
goin,entre
lover,amante
bread,pão
andy,Andy
legal,jurídico
ill,doente
jason,Jason
mood,humor
owner,proprietário
loss,perda
santa,Papai Noel
rent,aluguel
connection,conexão
trees,árvores
rush,correr
rough,rude
pair,par
runs,corre
farm,Fazenda
matt,Matt
bike,bicicleta
ate,comi
grew,cresceu
professional,profissional
tim,Tim
parts,peças
alan,Alan
university,universidade
grandfather,Vô
cases,casos
ruin,ruína
da,da
clock,relógio
ocean,oceano
dna,DNA
liar,mentiroso
tour,Tour
thief,Ladrão
bleep,bip
lisa,Lisa
competition,concorrência
smith,Smith
emily,Emily
bones,ossos
plant,plantar
bless,abençoar
re,ré
crash,batida
lower,mais baixo
event,evento
complicated,complicado
shape,forma
royal,real
cheap,barato
downstairs,andar de baixo
tears,lágrimas
avoid,evitar
kelly,Kelly
alice,Alice
jobs,empregos
grown,crescido
giant,gigante
n,n
scare,susto
stops,parada
laura,Laura
finds,achados
suck,sugar
china,China
particular,especial
rome,Roma
bath,banho
hired,contratado
site,local
b,b
led,conduziu
map,mapa
horn,chifre
eventually,eventualmente
pity,pena
rise,subir
fixed,fixo
data,dados
per,por
jury,júri
clock,relógio
doin,fazendo
grant,conceder
meal,refeição
scary,apavorante
grave,cova
chase,correr atrás
role,Função
odd,ímpar
sexy,sexy
faces,rostos
badly,seriamente
tall,alta
television,televisão
shock,choque
pizza,pizza
image,imagem
plate,prato
hm,HM
mercy,misericórdia
shots,tiros
lucy,Lucy
trap,armadilha
phil,Phil
bang,Bang
butt,bunda
drove,dirigiu
yourselves,vocês mesmos
soup,sopa
sat,sentado
hunt,caçar
rat,rato
terms,termos
emma,Emma
appointment,compromisso
crack,rachadura
jenny,Jenny
chose,escolheu
carl,Carl
rick,Rick
stood,permaneceu
annie,Annie
disgusting,repugnante
below,abaixo de
neighborhood,vizinhança
march,março
lips,lábios
piss,xixi
pure,puro
india,Índia
aside,"a parte, de lado"
jerk,idiota
mail,correspondência
dawn,alvorecer
spell,soletrar
freak,doido
wood,madeira
gary,Gary
awake,acordado
leo,Leo
grandmother,avó
luke,Lucas
firm,empresa
prime,melhor
heh,heh
piano,piano
moves,movimentos
gods,Deuses
value,valor
union,União
media,meios de comunicação
taxi,Táxi
dies,morre
iron,ferro
rob,roubar
fred,Fred
songs,músicas
washington,Washington
pride,orgulho
pills,pílulas
swim,nadar
hook,gancho
protection,proteção
ear,orelha
metal,metal
laid,liderar
louis,Louis
text,texto
performance,atuação
rate,avaliar
josh,Josh
unbelievable,inacreditável
ted,Ted
zero,zero
dean,reitor
sean,Sean
candy,doce
bone,osso
tied,amarrado
edge,borda
load,carregar
susan,Susan
ahh,ahh
boom,estrondo
motherfucker,filho da puta
sue,processar
bags,bolsas
tip,gorjeta
fail,falhou
bride,noiva
penny,centavo
claim,alegar
friendship,amizade
solve,resolver
theme,tema
chuck,mandril
FALSE,FALSO
cast,elenco
thou,vós
egg,ovo
punch,soco
woke,acordou
intelligence,inteligência
falls,cai
warn,avisar
dust,pó
kyle,Kyle
tear,rasgar
st.,st.
technology,tecnologia
tires,pneus
toast,brinde
wise,sábio
clark,Clark
notes,notas
hank,Hank
ls,ls
april,abril
wolf,lobo
rooms,quartos
coast,costa
hated,odiado
considered,considerado
rice,arroz
steps,degraus
blake,Blake
beast,fera
cow,vaca
files,arquivos
signs,Sinais
drag,arrastar
cab,táxi
hung,pendurado
successful,bem sucedido
eve,véspera
chattering,conversando
japan,Japão
california,Califórnia
lf,lf
ll,ll
shift,mudança
exact,exato
karen,Karen
goal,meta
score,pontuação
row,fileira
marks,Marcas
pilot,piloto
thy,teus
sale,oferta
cure,cura
armed,armado
rare,cru
helen,Helen
grade,avaliar
juice,suco
wide,largo
tower,torre
julie,Julie
fruit,fruta
blew,estraguei
talks,conversas
range,variar
pie,torta
pot,Panela
eaten,comido
knees,joelhos
circumstances,circunstâncias
sin,pecado
mon,seg
joey,Joey
mass,massa
alien,estrangeiro
helps,ajuda
route,rota
trace,vestígio
nasty,desagradável
tests,testes
rocks,pedras
dump,jogar fora
rude,rude
clue,dica
amen,um homem
merry,alegre
zone,zona
snake,cobra
lily,lírio
actor,ator
greg,Greg
jones,Jones
julia,Julia
mustn,mustn
anger,raiva
spy,espião
sharp,afiado
ricky,Ricky
jamie,Jamie
squad,esquadrão
wave,aceno
kinds,tipos
sucks,é uma merda
bored,entediado
understanding,compreensão
beeps,bipes
chain,corrente
bull,touro
fully,totalmente
robin,Robin
international,internacional
curse,xingamento
hire,contratar
puts,coloca
leads,conduz
id,Eu iria
blows,golpes
sons,filhos
i-,eu-
hug,abraço
loser,perdedor
pen,caneta
climb,escalar
conference,conferência
marty,Marty
seek,procurar
earn,ganhar
trash,lixo
prize,prêmio
previously,anteriormente
debt,dívida
wire,arame
thee,te
stock,estoque
facts,fatos
remembered,lembrou
tail,rabo
bravo,bravo
rape,estupro
tank,tanque
glory,glória
barry,Barry
apple,maçã
rope,corda
duck,pato
reputation,reputação
confidence,confiança
yard,Jardim
lack,falta
films,filmes
salt,sal
flesh,carne
anne,Anne
sand,areia
hates,odeia
fed,alimentado
extraordinary,extraordinário
ships,navios
terry,Terry
chat,bater papo
mummy,mamãe
bay,baía
slip,escorregar
disappointed,desapontado
alert,alerta
pink,rosa
background,fundo
panic,pânico
minds,mentes
belt,cinto
tiger,tigre
whispering,sussurrando
saint,santo
jesse,Jesse
task,tarefa
solid,sólido
doll,boneca
pa,PA
gee,Puxa
u.s.,nós.
maid,empregada
embarrassing,embaraçoso
bow,arco
chick,Chick
sara,Sara
revolution,revolução
f,f
demon,demônio
coincidence,coincidência
thin,fino
mac,Mac
crown,coroa
impressive,impressionante
dozen,dúzia
stan,Stan
swing,balanço
drew,desenhou
dirt,sujeira
marie,Marie
hits,exitos
doug,Doug
deny,negar
threatened,ameaçado
molly,molly
mixed,misturado
stays,fica
explanation,explicação
wins,vence
duke,duque
production,Produção
slave,escravo
carol,Carol
lets,Lets
cruel,cruel
mask,mascarar
sally,Sally
bury,enterrar
approaching,Aproximando
jo,Jo
loan,empréstimo
dish,prato
abby,Abby
asks,pergunta
jean,Jean
daily,diário
linda,Linda
erm,erm
bound,vinculado
navy,marinha
guide,guia
guts,estômago
fella,cara
roman,romano
couch,sofá
cheer,alegrar
vegas,Vegas
shoe,sapato
title,título
shy,tímido
punishment,punição
los,Los
you,vocês
fever,febre
flash,instantâneo
bruce,Bruce
siren,sirene
sides,lados
bowl,tigela
katie,Katie
roy,Roy
tone,tom
g,g
i,eu
drama,drama
suspicious,suspeito
adult,adulto
todd,Todd
frightened,assustado
kills,mata
lou,Lou
particularly,particularmente
laws,leis
joint,articulação
boots,chuteiras
possibility,possibilidade
civil,Civil
june,Junho
lion,leão
shine,brilhar
hong,Hong
jokes,piadas
argue,argumentar
you-,vocês-
trail,trilha
collection,coleção
embarrassed,envergonhado
sec,Sec
considering,considerando
pussy,bichano
donna,Donna
protecting,protegendo
flag,bandeira
italy,Itália
shout,gritar
impression,impressão
jay,Jay
gear,engrenagem
lane,faixa
blast,explosão
ages,idades
bars,barras
conditions,condições
fifth,quinto
term,prazo
self,auto
bud,Bud
commissioner,comissário
rip,rasgar
mysterious,misterioso
sweat,suor
costs,custos
bust,busto
el,el
teddy,Urso de pelúcia
kong,Kong
afterwards,mais tarde
mason,pedreiro
gym,academia
kitty,gatinha
crush,crush
yup,sim
suits,se adequa
pee,xixi
cave,caverna
wing,asa
noble,nobre
betty,Betty
mix,misturar
golf,golfe
imagination,imaginação
fox,raposa
tax,imposto
gross,bruto
texas,Texas
skull,crânio
shown,mostrando
bat,bastão
print,imprimir
bills,contas
throughout,por todo
a.m.,sou.
sauce,molho
experiment,experimentar
ross,Ross
grass,Relva
cheat,burlar
lewis,Lewis
cap,boné
tyler,Tyler
bible,Bíblia
practically,praticamente
steel,aço
wipe,limpar
burns,queimaduras
j,j
generation,geração
cabin,cabine
bond,ligação
sheep,ovelha
scientists,cientistas
heck,diabos
deck,área coberta
fans,fãs
brand,marca
cats,gatos
fuel,combustível
uh-oh,uh-oh
attractive,atraente
plain,avião
pretending,fingindo
robot,robô
lad,rapaz
mile,milha
electricity,eletricidade
tina,Tina
seal,selo
ellen,Ellen
wore,vestiu
surrounded,cercado
purse,bolsa
kenny,Kenny
buck,bode
nina,Nina
construction,construção
confession,confissão
cells,células
ali,todos
exit,saída
lucas,Lucas
vice,vício
toy,brinquedo
gain,ganho
holly,azevinho
link,link
underground,subterrâneo
teams,equipes
beef,carne
chip,lasca
surveillance,vigilância
uses,usos
underneath,por baixo
temperature,temperatura
tribe,tribo
brad,Brad
headquarters,quartel general
equal,igual
ken,Ken
incredibly,incrivelmente
chill,frio
spit,cuspir
oscar,Oscar
bug,incomodar
nerve,nervo
stake,estaca
port,porta
units,unidades
just-,apenas-
chloe,chloe
bail,fiança
tokyo,Tóquio
davis,Davis
ian,Ian
pet,bicho de estimação
cage,cela
spain,Espanha
seats,assentos
jews,judeus
concentrate,concentrado
aim,mirar
nancy,Nancy
thick,espesso
sport,esporte
basic,básico
cliff,penhasco
nail,unha
environment,meio Ambiente
ease,facilidade
raped,estuprado
judy,Judy
beep,bip
anniversary,aniversário
beth,Beth
forth,adiante
fetch,buscar
banks,bancos
skip,pular
guilt,culpa
tune,afinação
woo,Woo
conscience,consciência
officially,oficialmente
determined,determinado
blown,soprado
hail,saudação
booth,cabine
pour,derramar
wrap,enrolar
randy,Randy
reasonable,razoável
trunk,porta-malas
homes,casas
cigarettes,cigarros
ouch,ai
ann,Ann
drank,bebido
dylan,Dylan
owns,possui
boxes,caixas
thus,portanto
clay,argila
pipe,cano
gray,cinzento
no.,não.
goods,bens
salad,salada
loyal,leal
atmosphere,atmosfera
eva,Eva
mouse,rato
pit,opor
jess,Jess
organization,organização
hills,colinas
exam,exame
cock,galo
fairy,fadas
earl,conde
frame,quadro
habit,hábito
flow,fluxo
holes,furos
lend,emprestar
strip,faixa
monk,monge
ron,Ron
lousy,nojento
souls,almas
belly,barriga
tries,tentativas
ward,enfermaria
individual,Individual
hopes,esperanças
fence,cerca
sink,afundar
punk,punk
yay,yay
limit,limite
st,st
uncomfortable,desconfortável
gifts,presentes
na,n / D
greek,grego
hoped,esperava
derek,Derek
personality,personalidade
pope,papa
intelligent,inteligente
instructions,instruções
comin,vindo
cried,gritou
bells,sinos
host,hospedeiro
odds,chances
mud,lama
sets,conjuntos
pulse,pulso
ad,de Anúncios
cloud,nuvem
hers,dela
mm-hm,mm-hm
blah,blá
flies,moscas
pat,Pat
hid,escondido
vic,Vic
yell,gritar
rats,ratos
pitch,tom
casey,Casey
holds,segura
flew,voou
jacob,Jacob
noon,meio-dia
helicopter,helicóptero
spin,rodar
charm,charme
slap,tapa
apply,Aplique
fools,tolos
screeching,gritando
authorities,autoridades
photograph,fotografia
sales,vendas
fifty,cinquenta
deaf,surdo
clown,palhaço
snap,foto
hood,de capuz
liz,Liz
technically,tecnicamente
cia,CIA
pays,paga
jeez,Caramba
gene,gene
shed,cabana
minor,menor
scientific,científico
chaos,caos
math,matemática
chips,salgadinhos
grey,cinza
angle,ângulo
invitation,convite
investigate,investigar
bush,arbusto
dates,datas
gates,Portões
mars,Marte
cared,cuidei
nate,Nate
pigs,porcos
chop,Picar
commercial,comercial
engagement,noivado
scale,escala
beats,batidas
threatening,ameaçador
acts,atos
hop,saltar
ralph,Ralph
consequences,consequências
bombs,bombas
shark,Tubarão
population,população
sneak,esgueirar-se
destruction,destruição
keith,Keith
shell,Concha
fascinating,fascinante
ethan,Ethan
pin,alfinete
drill,furar
investigating,investigando
experienced,com experiência
elena,Elena
junk,lixo
cole,Cole
cries,chora
rita,Rita
begun,iniciado
maya,Maya
liver,fígado
jazz,jazz
july,Julho
obey,obedecer
moron,idiota
latin,latim
teachers,Loading...
toby,Toby
sandy,Sandy
dragged,Loading...
strategy,Loading...
parent,Loading...
jin,Jin
album,álbum
compared,Loading...
rubbish,Loading...
helpful,Loading...
powder,Loading...
sync,sincronizar
bum,vagabundo
passes,Loading...
joan,Joan
fort,forte
choices,Loading...
alley,beco
supper,Loading...
penis,pênis
alibi,álibi
sammy,Sammy
pole,pólo
coke,Coca
scientist,Loading...
fighter,Loading...
highway,Loading...
blade,lâmina
alpha,alfa
diet,dieta
liquor,Loading...
jet,jato
widow,Loading...
liberty,Loading...
philip,Loading...
moral,moral
carrie,Loading...
award,prêmio
grief,pesar
thirsty,Loading...
ashley,Loading...
random,Loading...
suspects,Loading...
intention,Loading...
julian,Loading...
active,Loading...
tools,Ferramentas
driven,Loading...
trauma,Loading...
headache,Loading...
safely,Loading...
alexander,Loading...
knee,joelho
lads,rapazes
novel,novela
conversations,conversas
waters,Loading...
lookin,Loading...
invisible,Loading...
internal,Loading...
peaceful,Loading...
humming,Loading...
washed,Loading...
drives,Loading...
talented,Loading...
li,li
aid,ajuda
elephant,Loading...
troubles,Loading...
core,essencial
serial,Loading...
s-,s-
painted,Loading...
the,a
divine,Loading...
jam,geléia
goat,cabra
opera,ópera
thieves,Loading...
guessing,Loading...
objection,Loading...
whiskey,Loading...
florida,Loading...
resistance,resistência
dressing,Loading...
attached,Loading...
aaron,Aaron
brief,apresentação
punish,Loading...
eternal,Loading...
lois,lois
and,e